epoch: 1, train_loss(rmse): 4.695909245186737
epoch: 2, train_loss(rmse): 3.314807465977971
epoch: 3, train_loss(rmse): 2.1517043842875467
epoch: 4, train_loss(rmse): 1.6389034892343486
epoch: 5, train_loss(rmse): 1.3879481506810678
epoch: 6, train_loss(rmse): 1.2432671624997829
epoch: 7, train_loss(rmse): 1.1512112526638356
epoch: 8, train_loss(rmse): 1.0888833602972863
epoch: 9, train_loss(rmse): 1.0445221388222532
epoch: 10, train_loss(rmse): 1.0119452042935748
epoch: 11, train_loss(rmse): 0.9871715024537978
epoch: 12, train_loss(rmse): 0.9678824877842165
epoch: 13, train_loss(rmse): 0.9525977891909914
epoch: 14, train_loss(rmse): 0.9402180608776927
epoch: 15, train_loss(rmse): 0.9300382256217887
epoch: 16, train_loss(rmse): 0.9215314333519613
epoch: 17, train_loss(rmse): 0.914376985349161
epoch: 18, train_loss(rmse): 0.9082018565564463
epoch: 19, train_loss(rmse): 0.9028550092862662
epoch: 20, train_loss(rmse): 0.8981814255464958
epoch: 21, train_loss(rmse): 0.8941257157125311
epoch: 22, train_loss(rmse): 0.8904788251545394
epoch: 23, train_loss(rmse): 0.8872309384306949
epoch: 24, train_loss(rmse): 0.8842346054912404
epoch: 25, train_loss(rmse): 0.8815342508913327
epoch: 26, train_loss(rmse): 0.8790934350246704
epoch: 27, train_loss(rmse): 0.8767678317029775
epoch: 28, train_loss(rmse): 0.8746148859577829
epoch: 29, train_loss(rmse): 0.8726714700950409
epoch: 30, train_loss(rmse): 0.8708315299256988
test_loss(rmse): 0.8617227412349097
