epoch: 1, train_loss(rmse): 3.218956031814102
epoch: 2, train_loss(rmse): 1.8988652850777228
epoch: 3, train_loss(rmse): 1.5172022842924435
epoch: 4, train_loss(rmse): 1.3265106557639248
epoch: 5, train_loss(rmse): 1.211989136684825
epoch: 6, train_loss(rmse): 1.1360338210561667
epoch: 7, train_loss(rmse): 1.0824680516654943
epoch: 8, train_loss(rmse): 1.0429309568147889
epoch: 9, train_loss(rmse): 1.0127788391714998
epoch: 10, train_loss(rmse): 0.9892261780151473
epoch: 11, train_loss(rmse): 0.9703988801010357
epoch: 12, train_loss(rmse): 0.9550840947050782
epoch: 13, train_loss(rmse): 0.9424605464882007
epoch: 14, train_loss(rmse): 0.9318908571960506
epoch: 15, train_loss(rmse): 0.922986380128006
epoch: 16, train_loss(rmse): 0.9154091422394645
epoch: 17, train_loss(rmse): 0.9088259891099301
epoch: 18, train_loss(rmse): 0.9031650249017491
epoch: 19, train_loss(rmse): 0.8981816957665177
epoch: 20, train_loss(rmse): 0.8938067527347084
epoch: 21, train_loss(rmse): 0.8899345985454341
epoch: 22, train_loss(rmse): 0.8864754841976679
epoch: 23, train_loss(rmse): 0.8833806621300131
epoch: 24, train_loss(rmse): 0.8805479138921312
epoch: 25, train_loss(rmse): 0.8780332012503871
epoch: 26, train_loss(rmse): 0.8757437633821585
epoch: 27, train_loss(rmse): 0.8736078435378475
epoch: 28, train_loss(rmse): 0.8716714952320006
epoch: 29, train_loss(rmse): 0.8698708012500435
epoch: 30, train_loss(rmse): 0.8682065724955801
test_loss(rmse): 0.861504412166541
