epoch: 1, train_loss(rmse): 3.2389104543113723
epoch: 2, train_loss(rmse): 1.8819871028008381
epoch: 3, train_loss(rmse): 1.5130823475576631
epoch: 4, train_loss(rmse): 1.3251699089927957
epoch: 5, train_loss(rmse): 1.2114656602942686
epoch: 6, train_loss(rmse): 1.1358719858245208
epoch: 7, train_loss(rmse): 1.082351225008076
epoch: 8, train_loss(rmse): 1.0428655987547246
epoch: 9, train_loss(rmse): 1.0127677420821242
epoch: 10, train_loss(rmse): 0.989153573274789
epoch: 11, train_loss(rmse): 0.9704087404275792
epoch: 12, train_loss(rmse): 0.9550920404011614
epoch: 13, train_loss(rmse): 0.9424620664688291
epoch: 14, train_loss(rmse): 0.9318765500903632
epoch: 15, train_loss(rmse): 0.9230241091598056
epoch: 16, train_loss(rmse): 0.9153865491512282
epoch: 17, train_loss(rmse): 0.9088075665698414
epoch: 18, train_loss(rmse): 0.9031152668037107
epoch: 19, train_loss(rmse): 0.89813104992336
epoch: 20, train_loss(rmse): 0.8937493373782295
epoch: 21, train_loss(rmse): 0.8898485218964437
epoch: 22, train_loss(rmse): 0.8863469825417629
epoch: 23, train_loss(rmse): 0.8832490259220646
epoch: 24, train_loss(rmse): 0.8804049688980534
epoch: 25, train_loss(rmse): 0.8778334586896942
epoch: 26, train_loss(rmse): 0.8754989687570016
epoch: 27, train_loss(rmse): 0.873368245555929
epoch: 28, train_loss(rmse): 0.871354886810564
epoch: 29, train_loss(rmse): 0.8695306885295223
epoch: 30, train_loss(rmse): 0.867803999576247
test_loss(rmse): 0.8608335371753993
